title,developers,publishers,release_date,platforms,genres,score,reviewed_by
Ratchet and Clank: Rift Apart ,Insomniac Games,Sony Interactive Entertainment,2021-06-10,PlayStation 5,"Action,  Platformer",9,Jonathon Dornbush
Guilty Gear Strive ,ARC System Works,ARC System Works,2021-06-11,"PlayStation 5,  PC,  PlayStation 4,  Arcade",Fighting,9,Mitchell Saltzman
Wonder Boy: Asha in Monster World ,ArtDink,"ArtDink, ININ Games",2021-05-28,"PlayStation 4,  Nintendo Switch,  PC","Action,  Platformer",5,Alex Santa Maria
Necromunda: Hired Gun ,Streum On Studio,Focus Home Interactive,2021-06-01,"Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5,  PC","Shooter,  First-Person",5,Travis Northup
Knockout City ,Velan Studios,Electronic Arts,2021-05-21,"Nintendo Switch,  Xbox One,  PlayStation 4,  PC","Action,  Sports,  Volleyball",9,Jarrett Green
Iron Harvest: Operation Eagle ,King Art,Deep Silver,2020-09-01,"PC,  Xbox One,  Xbox Series X|S,  PlayStation 5,  PlayStation 4",Strategy,7,Jon Bolding
Alienware m17 R4 ,,Alienware,2021-04-15,Hardware,Gaming PC,8,Jason Cipriani
SteelSeries Arctis Prime ,,SteelSeries ,,,Audio Headset / Earbuds,8,Mike Epstein
Biomutant ,Experiment 101,THQ Nordic,2021-05-25,"Xbox One,  PC,  PlayStation 4","Action,  Adventure",6,Luke Reilly
Mass Effect Legendary Edition  Part 1: Mass Effect,BioWare,Electronic Arts,2021-05-14,"Xbox One,  PlayStation 4,  PC","Compilation,  RPG",8,Dan Stapleton
Just Die Already ,DoubleMoose,Curve Digital,2021-05-20,"PC,  PlayStation 4,  Xbox One,  Nintendo Switch,  Xbox Series X|S,  PlayStation 5",Action,5,Jarrett Green
Fast & Furious: Highway Heist ,Funko Games,Funko Games,2021-06-30,Tabletop,Board,7,Matt Thrower
Hood: Outlaws & Legends ,Sumo Digital,Focus Home Interactive,2021-05-10,"PC,  Xbox One,  Xbox Series X|S,  PlayStation 4,  PlayStation 5",Action,6,Travis Northup
Assassin's Creed Valhalla: Wrath of the Druids ,Ubisoft Bordeaux,Ubisoft,2021-05-13,"PlayStation 4,  PlayStation 5,  Xbox One,  Xbox Series X|S,  PC","Action,  Adventure,  DLC / Expansion",7,Jarrett Green
